"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RASA3",5.1304160844636e-17,0.44891364305692,0.312,0.152,1.22642596499102e-12,"0","RASA3"
"ID3",9.66462259370377e-17,-0.957946456924451,0.049,0.17,2.31032803102489e-12,"0","ID3"
"SH3BP5",1.06258375567754e-16,0.507040921230037,0.259,0.12,2.54010646794716e-12,"0","SH3BP5"
"MPZL3",1.13837040516354e-16,-0.479992596492441,0.03,0.14,2.72127445354343e-12,"0","MPZL3"
"RPS4Y1",1.17920173480278e-16,-0.844392339875639,0.068,0.199,2.81888174704605e-12,"0","RPS4Y1"
"TRBV9",1.20478059775794e-16,0.926937101550134,0.106,0.02,2.88002801894036e-12,"0","TRBV9"
"PYHIN1",1.23416307811771e-16,0.568035178763514,0.38,0.226,2.95026683824039e-12,"0","PYHIN1"
"COL6A2",1.45351520224813e-16,0.392517927566533,0.13,0.032,3.47462809097415e-12,"0","COL6A2"
"CTLA4",1.92692281211173e-16,-0.45561728522418,0.012,0.104,4.6063089823531e-12,"0","CTLA4"
"RPS26",2.08453605614974e-16,0.269418196854778,0.964,0.918,4.98308344222595e-12,"0","RPS26"
"OXNAD1",2.33613687424721e-16,-0.59812129061433,0.138,0.294,5.58453519788796e-12,"0","OXNAD1"
"PABPC1",3.02220687117736e-16,-0.547036188152288,0.796,0.824,7.22458552554948e-12,"0","PABPC1"
"EML4",3.8000999019715e-16,-0.58044577264546,0.242,0.413,9.08413881566288e-12,"0","EML4"
"GPR171",4.42505986955907e-16,-0.463565216708595,0.055,0.18,1.0578105618181e-11,"0","GPR171"
"RCAN3",5.51189410253192e-16,-0.405218416319223,0.018,0.114,1.31761828521026e-11,"0","RCAN3"
"TRDV1",5.62389318784732e-16,-1.07587898445075,0.045,0.159,1.3443916665549e-11,"0","TRDV1"
"CD7",8.19013881827026e-16,-0.651976097659587,0.681,0.738,1.95785268450751e-11,"0","CD7"
"VCL",9.19856767843632e-16,0.383882702607103,0.116,0.027,2.1989176035302e-11,"0","VCL"
